sheet,reference,terminal,pin_name,net,status,proposed_physical_location,physical_pin_or_terminal,wire_protection_rating,native_kicad_correction,authority
01_energy_precharge_conversion.kicad_sch,BATT1,LOG-POS,PACK POSITIVE,BATT_POS_RAW,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,BATT1,LOG-NEG,PACK NEGATIVE,BATT_0V_RAW,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,BATT1,LOG-TEMP,PACK TEMPERATURE,TLM_PACK_TEMP,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,BATT1,LOG-BMS,BMS STATUS,TLM_BMS_STATUS,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,SD1,LOG-IN,RAW POSITIVE IN,BATT_POS_RAW,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,SD1,LOG-OUT,ISOLATED POSITIVE OUT,SD_POS_OUT,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,PRE1,LOG-IN,DISCONNECT OUTPUT,SD_POS_OUT,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,PRE1,LOG-MAIN,CONTACTOR INPUT,CONTACTOR_POS_IN,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,PRE1,LOG-CMD,PRECHARGE REQUEST,PRECHARGE_REQUEST,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,PRE1,LOG-OK,PRECHARGE STATUS,PRECHARGE_STATUS,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-IN,INTERRUPTED 14.8 V,ACT_14V8_SAFE,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-RET-IN,CONTROLLED RETURN,ACT_0V_CONTROLLED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-OUT,12 V ACTUATOR SOURCE,ACT_12V_SAFE,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-RET-OUT,12 V RETURN,ACT_0V_CONTROLLED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-EN,CONVERTER ENABLE,SAFETY_PERMIT_HARDWIRED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,DCDC1,LOG-TLM,CONVERTER TELEMETRY,TLM_DCDC12,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,CHG1,LOG-POS,CHARGE POSITIVE,CHARGE_POS,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,CHG1,LOG-NEG,CHARGE RETURN,CHARGE_RET,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,CHG1,LOG-INT,CHARGER PRESENT INTERLOCK,CHARGER_INTERLOCK,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,RET1,LOG-BATT,PACK RETURN,BATT_0V_RAW,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,RET1,LOG-ACT,CONTROLLED ACTUATOR RETURN,ACT_0V_CONTROLLED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
01_energy_precharge_conversion.kicad_sch,RET1,LOG-PE,PROTECTIVE EARTH / FRAME,FRAME_PE_BOUNDARY,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel / robot inlet boundary,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
02_estop_permit_contactors.kicad_sch,S0,LOG-C1F,CHANNEL 1 FEED,ESTOP_CH1_FEED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
02_estop_permit_contactors.kicad_sch,S0,LOG-C1R,CHANNEL 1 RETURN,ESTOP_CH1_RETURN,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
02_estop_permit_contactors.kicad_sch,S0,LOG-C2F,CHANNEL 2 FEED,ESTOP_CH2_FEED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
02_estop_permit_contactors.kicad_sch,S0,LOG-C2R,CHANNEL 2 RETURN,ESTOP_CH2_RETURN,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
02_estop_permit_contactors.kicad_sch,S1,LOG-FEED,RESET FEED,RESET_FEED,SELECTION REQUIRED - LOGICAL CONNECTIVITY ONLY,external panel,SELECTION REQUIRED,SELECTION REQUIRED,REQUIRED: replace 14.8 V-specific naming/direct LiPo assumption with controlled main-rail configuration,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
