family_id,role,representative_axis,whole_body_axis_count,part_count,shaft_od_mm,shaft_bore_mm,support_span_mm,bearing_candidate,external_bearing_count,carrier_plate_mm,transmission,ratio,bbox_x_mm,bbox_y_mm,bbox_z_mm,candidate_non_actuator_mass_kg,release_state,warning,step_path,step_bytes,step_sha256,glb_path,glb_bytes,glb_sha256
JMF-01-COMPACT,compact supported direct joint,HEAD_PAN,4,12,6.000,3.720,32.000,696 OPEN EVALUATION CANDIDATE,1,36.0 x 38.0 x 3.0,direct supported output,1.0:1 candidate,36.000,81.900,43.500,0.034261533,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-01-COMPACT/JMF-01-COMPACT_assembly.step,3338676,af4042afb31fcea843db7ae2e6cc1bf6245f1e0f8894c1a26fd335f57cbbe78a,JMF-01-COMPACT/JMF-01-COMPACT_assembly.glb,1848404,8d62d7982c2f02bd67ad3f47ea35fde4ebdec4fde381bf43ec7215d247150ca8
JMF-02-GRIPPER,parallel hand-shaped gripper drive,L_GRIPPER,2,14,5.000,3.100,28.000,625-2Z EVALUATION CANDIDATE,1,42.0 x 38.0 x 3.0,symmetric rack/pinion or tendon coupling,SELECTION REQUIRED,50.000,75.900,42.500,0.030429638,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-02-GRIPPER/JMF-02-GRIPPER_assembly.step,3901590,83c5cb8cf8c877593e4fdb32c5344062e36acc235ff86fb50987fe8aa318923a,JMF-02-GRIPPER/JMF-02-GRIPPER_assembly.glb,1961768,7ad6c2e919931ca295516c329d6c2357b9ffb77c2fa5e4e76fca79b45c453120
JMF-03-SHOULDER-GIMBAL,shared intersecting-axis shoulder gimbal,L_SHOULDER_PITCH,4,25,10.000,6.200,52.000,61900-2RS1 EVALUATION CANDIDATE,2,58.0 x 64.0 x 4.0,two remote supported 20:20 5GT drives with GBN185EV5GT-090 belts sharing one gimbal housing,1.0:1 exact catalogue candidate,97.200,66.400,99.095,0.200646379,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-03-SHOULDER-GIMBAL/JMF-03-SHOULDER-GIMBAL_assembly.step,5282877,badaf8fffa3c9e7885f3e925f3bc0da61859da80e5009e1d46f399a8bb7dd8d2,JMF-03-SHOULDER-GIMBAL/JMF-03-SHOULDER-GIMBAL_assembly.glb,3276668,40c421d78c814578a084608bb8bec50cb7657680fa3c2e3361cac7ae10503009
JMF-04-MEDIUM,medium supported direct joint,L_ELBOW_PITCH,2,12,10.000,6.200,46.000,61900-2RS1 EVALUATION CANDIDATE,1,52.0 x 56.0 x 4.0,direct supported output,1.0:1 candidate,52.000,101.400,63.250,0.084498820,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-04-MEDIUM/JMF-04-MEDIUM_assembly.step,3155362,0e775693dac534a224229a788c2249caf06116d57c3c68e37da07b18c993bb41,JMF-04-MEDIUM/JMF-04-MEDIUM_assembly.glb,1896944,af5e7d979c9d4537542d9e1dd326a21ce5801448592737638f799a1b0fa03dbb
JMF-05-WAIST,large supported waist turntable,WAIST_YAW,1,12,17.000,10.540,28.000,6803 OPEN EVALUATION CANDIDATE,1,98.0 x 72.0 x 5.0,supported yaw output with actuator isolated from overturning load,1.0:1 initial candidate,98.000,90.900,80.750,0.154569892,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-05-WAIST/JMF-05-WAIST_assembly.step,1518664,e729345220c75bf8adb65150a435c5db7bffa77979831d5171fa659c5db85fae,JMF-05-WAIST/JMF-05-WAIST_assembly.glb,1214220,42f2a4c3e1a64339155b81cf2d5dea84f99034c34de619c0920657aa17a04c48
JMF-06-LEG-DIRECT,large supported direct leg joint,L_HIP_YAW,2,12,12.000,7.440,60.000,6901 OPEN EVALUATION CANDIDATE,1,66.0 x 70.0 x 5.0,direct supported output,1.0:1 W0 candidate,66.000,124.900,79.750,0.136845502,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-06-LEG-DIRECT/JMF-06-LEG-DIRECT_assembly.step,1501523,f4cabe7cfac3aeaca92b126f3e71948cfa1d9854c1b32e1b9c6c08e1f1ee0479,JMF-06-LEG-DIRECT/JMF-06-LEG-DIRECT_assembly.glb,1208496,d095b69e07c99678482d602187f677f4a4d1e75de29a4cbf2fe2a528ebae4304
JMF-07-LEG-REDUCED-15,parallel-axis reduced leg joint,L_HIP_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,72.0 x 78.0 x 5.0,MISUMI GPA20/GPA30GT5090 plus GBN225EV5GT-090 candidate with output encoder,1.5:1 exact product/geometry candidate,72.000,80.400,117.664,0.245020789,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-07-LEG-REDUCED-15/JMF-07-LEG-REDUCED-15_assembly.step,2333724,025b452d26972e80a6a70860dda15d5c19c2e17970ebef564f2d5f5a224c1365,JMF-07-LEG-REDUCED-15/JMF-07-LEG-REDUCED-15_assembly.glb,1599092,37eb0c7623bc5bcdbf5ce55905e78f58370c908913e6b1e59236fa06ce6935d3
JMF-08-LEG-REDUCED-20,higher-reduction hip/ankle roll joint,L_HIP_ROLL,4,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 70.0 x 5.0,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 candidate with output encoder,2.0:1 exact product/geometry candidate,74.520,80.400,124.485,0.263547196,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-08-LEG-REDUCED-20/JMF-08-LEG-REDUCED-20_assembly.step,2333985,1e0aa627404c6241af238f2e1c61c42edde9ed5f4442b3fe38392f25da3bb7e3,JMF-08-LEG-REDUCED-20/JMF-08-LEG-REDUCED-20_assembly.glb,1599284,e757ae1894c2aead90131ccb2fe1dbf9dcb82c6043c923cbad8b2f73d78cb053
JMF-09-KNEE-REDUCED-20,2.0:1 knee transmission with dual-supported output,L_KNEE_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 78.0 x 5.0,MISUMI GPA20/GPA40GT5090 plus GBN255EV5GT-090 knee candidate with output encoder,2.0:1 exact product/geometry candidate,74.520,80.400,126.225,0.268709921,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-09-KNEE-REDUCED-20/JMF-09-KNEE-REDUCED-20_assembly.step,2334124,dd0019a4e45035e2e1884d798184353b6254942bf60fe61ae209af7e2aaa23dc,JMF-09-KNEE-REDUCED-20/JMF-09-KNEE-REDUCED-20_assembly.glb,1599452,d1bc21cfa131c0b9c02a4baf6bce5f82de3bc83efa51a800818fb4403bb66631
JMF-10-ANKLE-PITCH-REDUCED-25,compact 2.5:1 ankle-pitch transmission,L_ANKLE_PITCH,2,22,12.000,7.440,64.000,6901 OPEN EVALUATION CANDIDATE,2,74.0 x 72.0 x 5.0,MISUMI GPA16/GPA40GT5090 plus GBN250EV5GT-090 ankle candidate with output encoder,2.5:1 exact product/geometry candidate,74.520,80.400,125.976,0.261843715,"SERVICEABLE GEOMETRIC CANDIDATE - FITS, CAPACITY, MATERIALS, EXACT HARDWARE AND PHYSICAL VALIDATION OPEN","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION",JMF-10-ANKLE-PITCH-REDUCED-25/JMF-10-ANKLE-PITCH-REDUCED-25_assembly.step,3996288,5d01054e0a3c55933e9c202b3fb128a0a7b290b9465ebdc1c8ba2400ec725c92,JMF-10-ANKLE-PITCH-REDUCED-25/JMF-10-ANKLE-PITCH-REDUCED-25_assembly.glb,2290424,ed8c18d70745f065b8cccbaf4387b477023d422552eb697933c655f35cb64335
