component,group,physical_or_reference,xmin_mm,xmax_mm,ymin_mm,ymax_mm,zmin_mm,zmax_mm,note,status
L_FOOT_SHELL_ENVELOPE,foot,PHYSICAL ENVELOPE,17.493945,107.506055,-47.506055,97.506055,-0.006055,35.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_ANKLE_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,29.494954,95.505046,-32.005046,32.005046,24.994954,77.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_SHIN_STRUCTURAL_ENVELOPE,lower leg,PHYSICAL ENVELOPE,35.494954,89.505046,-27.005046,27.005046,59.994954,195.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_SHIN_SHELL_ENVELOPE,lower-leg shell,PHYSICAL ENVELOPE,26.750000,98.250000,-37.750000,37.750000,59.250000,195.750000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_KNEE_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,27.493945,97.506055,-34.006055,34.006055,181.993945,238.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_THIGH_STRUCTURAL_ENVELOPE,upper leg,PHYSICAL ENVELOPE,33.494954,91.505046,-29.005046,29.005046,224.994954,365.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_THIGH_SHELL_ENVELOPE,upper-leg shell,PHYSICAL ENVELOPE,23.500000,101.500000,-40.000000,40.000000,223.000000,367.000000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_HIP_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,26.492936,98.507064,-41.007064,41.007064,344.992936,415.007064,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_FOOT_SHELL_ENVELOPE,foot,PHYSICAL ENVELOPE,-107.506055,-17.493945,-47.506055,97.506055,-0.006055,35.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_ANKLE_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-95.505046,-29.494954,-32.005046,32.005046,24.994954,77.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_SHIN_STRUCTURAL_ENVELOPE,lower leg,PHYSICAL ENVELOPE,-89.505046,-35.494954,-27.005046,27.005046,59.994954,195.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_SHIN_SHELL_ENVELOPE,lower-leg shell,PHYSICAL ENVELOPE,-98.250000,-26.750000,-37.750000,37.750000,59.250000,195.750000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_KNEE_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-97.506055,-27.493945,-34.006055,34.006055,181.993945,238.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_THIGH_STRUCTURAL_ENVELOPE,upper leg,PHYSICAL ENVELOPE,-91.505046,-33.494954,-29.005046,29.005046,224.994954,365.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_THIGH_SHELL_ENVELOPE,upper-leg shell,PHYSICAL ENVELOPE,-101.500000,-23.500000,-40.000000,40.000000,223.000000,367.000000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_HIP_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-98.507064,-26.492936,-41.007064,41.007064,344.992936,415.007064,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_SHELL_ENVELOPE,pelvis,PHYSICAL ENVELOPE,-80.750000,80.750000,-55.750000,55.750000,348.750000,420.250000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
PELVIS_LOAD_FRAME_ENVELOPE,pelvis structure,PHYSICAL ENVELOPE,-66.005046,66.005046,-36.005046,36.005046,368.994954,411.005046,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
WAIST_BEARING_STACK_RESERVATION,joint housing,PHYSICAL ENVELOPE,-56.006055,56.006055,-42.006055,42.006055,407.993945,442.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_SHELL_ENVELOPE,torso,PHYSICAL ENVELOPE,-104.500000,104.500000,-64.500000,64.500000,420.500000,594.500000,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_LEFT_FRAME_RAIL,torso structure,PHYSICAL ENVELOPE,59.996972,80.003028,-12.503028,12.503028,438.996972,581.003028,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_RIGHT_FRAME_RAIL,torso structure,PHYSICAL ENVELOPE,-80.003028,-59.996972,-12.503028,12.503028,438.996972,581.003028,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
TORSO_SHOULDER_CROSSMEMBER,torso structure,PHYSICAL ENVELOPE,-85.003028,85.003028,-14.003028,14.003028,562.996972,587.003028,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
NECK_COLUMN_ENVELOPE,neck,PHYSICAL ENVELOPE,-27.006055,27.006055,-27.006055,27.006055,595.993945,654.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
HEAD_SHELL_ENVELOPE,head,PHYSICAL ENVELOPE,-75.012110,75.012110,-55.012110,55.012110,649.987890,762.012110,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
FACE_SCREEN_PANEL,face screen,PHYSICAL ENVELOPE,-58.003028,58.003028,-61.003028,-53.996972,674.996972,733.003028,serviceable display-panel envelope; exact display selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
FACE_LEFT_EYE_GRAPHIC,screen-face graphic,PHYSICAL ENVELOPE,18.999293,37.000707,-62.500707,-60.499293,708.999293,717.000707,visual identity only; rendered by the display in production,CANDIDATE ENVELOPE - NOT A FABRICATION PART
FACE_RIGHT_EYE_GRAPHIC,screen-face graphic,PHYSICAL ENVELOPE,-37.000707,-18.999293,-62.500707,-60.499293,708.999293,717.000707,visual identity only; rendered by the display in production,CANDIDATE ENVELOPE - NOT A FABRICATION PART
FACE_DISPLAY_RESERVATION,sensor/display bay,REFERENCE/RESERVATION,-54.003028,54.003028,-56.003028,-47.996972,678.996972,729.003028,"display, camera privacy indicator and status-light hardware unresolved",CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_SHOULDER_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,84.993945,125.006055,-36.006055,36.006055,560.993945,619.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_UPPER_ARM_STRUCTURAL_ENVELOPE,upper arm,PHYSICAL ENVELOPE,88.324845,151.675155,-17.000000,17.000000,436.660742,593.339258,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_UPPER_ARM_SHELL_ENVELOPE,upper-arm shell,PHYSICAL ENVELOPE,81.458604,158.541396,-24.000000,24.000000,435.285753,594.714247,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_ELBOW_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,107.993945,162.006055,-31.006055,31.006055,412.993945,467.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_FOREARM_STRUCTURAL_ENVELOPE,forearm,PHYSICAL ENVELOPE,119.004531,155.995469,-16.000000,16.000000,294.443630,440.556370,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_FOREARM_SHELL_ENVELOPE,forearm shell,PHYSICAL ENVELOPE,112.006513,162.993487,-23.000000,23.000000,294.200219,440.799781,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_WRIST_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,115.993945,164.006055,-28.006055,28.006055,272.493945,317.506055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_HAND_PALM_ENVELOPE,hand-shaped gripper palm,PHYSICAL ENVELOPE,114.993945,165.006055,-29.006055,29.006055,251.993945,288.006055,houses one actuator and symmetric coupling,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_INBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,117.994954,136.005046,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_INBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,118.996972,135.003028,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_OUTBOARD_GRIPPER_FINGER,hand-shaped gripper finger,PHYSICAL ENVELOPE,143.994954,162.005046,-22.005046,22.005046,208.994954,255.005046,broad parallel jaw; no narrow scissor point,CANDIDATE ENVELOPE - NOT A FABRICATION PART
L_OUTBOARD_SOFT_PAD_LAND,gripper contact pad land,PHYSICAL ENVELOPE,144.996972,161.003028,-24.003028,24.003028,215.996972,224.003028,replaceable compliant pad; material and force-stroke selection required,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_SHOULDER_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-125.006055,-84.993945,-36.006055,36.006055,560.993945,619.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_UPPER_ARM_STRUCTURAL_ENVELOPE,upper arm,PHYSICAL ENVELOPE,-151.675155,-88.324845,-17.000000,17.000000,436.660742,593.339258,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_UPPER_ARM_SHELL_ENVELOPE,upper-arm shell,PHYSICAL ENVELOPE,-158.541396,-81.458604,-24.000000,24.000000,435.285753,594.714247,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_ELBOW_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-162.006055,-107.993945,-31.006055,31.006055,412.993945,467.006055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_FOREARM_STRUCTURAL_ENVELOPE,forearm,PHYSICAL ENVELOPE,-155.995469,-119.004531,-16.000000,16.000000,294.443630,440.556370,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_FOREARM_SHELL_ENVELOPE,forearm shell,PHYSICAL ENVELOPE,-162.993487,-112.006513,-23.000000,23.000000,294.200219,440.799781,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
R_WRIST_HOUSING_ENVELOPE,joint housing,PHYSICAL ENVELOPE,-164.006055,-115.993945,-28.006055,28.006055,272.493945,317.506055,,CANDIDATE ENVELOPE - NOT A FABRICATION PART
