load,domain,candidate_voltage_v,operating_budget_w,short_peak_budget_w,basis_and_hold,status
8 hip/knee actuators,ACTUATOR,14.8,64,320,simultaneous stall prohibited; measured gait duty required,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
4 reduced ankle actuators,ACTUATOR,14.8,22,112,"XM430 candidate; reduction, continuous duty and measured gait proof required",P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
waist + shoulder pitch + elbows/shoulder roll,ACTUATOR,14.8,31,155,mixed XM540/XM430 candidate operating estimate; limits unverified,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
wrists + grippers,ACTUATOR,12.0,8,32,XC330 candidates; grip-force and duty-cycle proof required,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
head pan/tilt,ACTUATOR,14.8,2,8,candidate operating estimate,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
Raspberry Pi 5 compute,COMPUTE,5.1,18,27,official 27 W supply envelope is not installed consumption evidence,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
motion/safety controllers + buses,CONTROL,5.0,8,15,exact controller/transceiver selections required,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
display/cameras/audio/network,HMI,5.0,14,30,exact devices and audio duty required,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
conversion/cooling allowance,LOSS/MARGIN,MULTIRAIL,12,28,converter curves and installed thermal test required,P0.1 BUDGET - PROTECTION/CONDUCTOR/SOURCE SELECTION REQUIRED
WHOLE ROBOT,TOTAL,14.8 V primary / regulated auxiliaries,179,727,"Grepow/Tattu TAA12K4S30EC5 14.8 V 12 Ah / 177.6 Wh evaluation candidate; <=75% usable arithmetic gives 44.6 ideal budget minutes; exact BMS/PCM, containment, retention, connector, disconnect, protection, current/thermal behavior and charger remain SELECTION REQUIRED",P0.1 BUDGET - NO SOURCE OR ENERGIZATION AUTHORITY
