axis_id,bus_id,actuator_model,candidate_internal_limit_a,published_stall_endpoint_a,one_way_planning_length_mm,candidate_conductor,loop_resistance_20c_ohm,drop_at_candidate_cap_20c_v,loss_at_candidate_cap_20c_w,jst_3a_headline_minus_cap_a,headline_margin_is_ampacity_credit,normal_rms_a,fault_current_a,hot_bundled_ampacity,branch_protection,execution_state,authority,warning
WAIST_YAW,RS-WAIST,ROBOTIS XM540-W270-R,2.499010,4.400,74.615,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.011789,0.029461,0.073624,0.500990,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_PAN,TTL-HEAD,ROBOTIS XC330-T288-T,0.700000,0.880,74.325,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.011743,0.008220,0.005754,2.300000,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
HEAD_TILT,TTL-HEAD,ROBOTIS XC330-T288-T,0.700000,0.880,113.709,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.017966,0.012576,0.008803,2.300000,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_PITCH,RS-LARM,ROBOTIS XM430-W350-R,1.998670,2.300,114.724,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.018126,0.036229,0.072409,1.001330,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_SHOULDER_ROLL,RS-LARM,ROBOTIS XM430-W350-R,1.998670,2.300,114.724,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.018126,0.036229,0.072409,1.001330,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_ELBOW_PITCH,RS-LARM,ROBOTIS XM430-W350-R,1.998670,2.300,144.750,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.022870,0.045710,0.091360,1.001330,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_WRIST_ROTATION,TTL-LDIST,ROBOTIS XC330-T288-T,0.700000,0.880,267.381,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.042246,0.029572,0.020701,2.300000,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_GRIPPER,TTL-LDIST,ROBOTIS XC330-T288-T,0.700000,0.880,307.725,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.048620,0.034034,0.023824,2.300000,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_YAW,RS-LLEG,ROBOTIS XH540-W270-R,2.499010,4.900,145.546,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.022996,0.057468,0.143612,0.500990,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
L_HIP_ROLL,RS-LLEG,ROBOTIS XH540-W270-R,2.499010,4.900,125.862,STATIC: Alpha Wire 3051 22 AWG; DYNAMIC: igus CF130.03.02.UL 2 x 22 AWG; CF9.UL.02.02 REJECTED FOR ACTUATOR POWER,0.019886,0.049696,0.124190,0.500990,"NO - AWG22 SIZE MATCH DOES NOT RELEASE APPLICATION AMPACITY, CRIMP OR TEMPERATURE RISE",SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,"NO PROCUREMENT, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - PROTECTION AND CONDUCTOR ARCHITECTURE ONLY - NOT APPROVED FOR PROCUREMENT, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
