sheet,reference,value,quantity,status,datasheet,evidence
01_external_sources.kicad_sch,PSA1,"Mean Well GST280A12-C6P, 12 V 21 A 252 W",1,PROPOSED - SOURCE APPLICATION REVIEW OPEN,https://www.meanwell.com/Upload/PDF/GST280A/GST280A-SPEC.PDF,GST280A-SPEC 2026-04-03
01_external_sources.kicad_sch,JA1,Molex 39012066 housing; 6x 444783112 HCS male contacts; 16 AWG,1,PROPOSED - CONNECTOR SYSTEM FROZEN; HARNESS/THERMAL VERIFICATION REQUIRED,https://www.molex.com/en-us/products/part-detail/39012066,"Molex 5559 and 44478 series data accessed 2026-08-06; PS-44476-001 rev D dated 2003-06-12; ATS-638190900 rev H dated 2015-08-28. Six-contact 16 AWG HCS project-side screen is 21 A / 3 = 7 A per contact versus the published 11 A HCS guideline. The adapter-side contact construction and real current division are not published, so received-harness thermal, crimp and current-division tests remain mandatory."
01_external_sources.kicad_sch,PSU2,"Mean Well GST40A24-P1J, 24 V 1.67 A 40 W",1,PROPOSED - LOCKING DC INTERFACE OPEN,https://www.meanwell.com/Upload/PDF/GST40A/GST40A-SPEC.PDF,GST40A-SPEC 2026-04-03
01_external_sources.kicad_sch,JC1,Locking 24 V DC inlet/interface,1,SELECTION REQUIRED,,
01_external_sources.kicad_sch,PSU3,Raspberry Pi 27W USB-C Power Supply US; color/SKU unresolved,1,SELECTION REQUIRED - US SKU / COLOR / RETENTION,https://pip-assets.raspberrypi.com/categories/898-raspberry-pi-27w-usb-c-power-supply,"Raspberry Pi product brief RP-008245-DS-1, published October 2023 and portal-updated 2025-10-06; rechecked 2026-08-06."
01_external_sources.kicad_sch,SP1,Project-added DC 0V / PE star point,1,DNP - PROHIBITED WITH GST280A12-C6P,,
02_estop_eligibility.kicad_sch,S0,IDEC XW1E-BV402M-R dual-NC E-stop candidate,1,PROPOSED - TERMINAL POSITIONS FROZEN; RECEIVED VERIFICATION REQUIRED,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/emergency-stop-switches/xw-22mm-estop/xw1e-bv402m-r,"IDEC XW product page plus XW-Indicator-Datasheet terminal arrangement, rechecked 2026-08-06; exact received device still requires bottom-view and continuity verification."
02_estop_eligibility.kicad_sch,SR1,"Pilz PNOZ s4 24 VDC 3 n/o 1 n/c, order 750104",1,PROPOSED - QUALIFIED APPLICATION REVIEW REQUIRED,https://www.pilz.com/en-INT/eshop/product/750104,"Pilz operating manual 21396-EN-23, product file 2026-06-22; terminals and timing rechecked 2026-08-06."
02_estop_eligibility.kicad_sch,S1,IDEC HW1B-M1F10-B black momentary 1NO RESET,1,PROPOSED - EXACT OPERATOR/COLOR FROZEN; RECEIVED VERIFICATION REQUIRED,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1b-m1f10-b,IDEC US product page and HW Series Catalog_Screw dated 2026-07-23; rechecked 2026-08-06.
02_estop_eligibility.kicad_sch,H1,SAFE ELIGIBLE indicator interface,1,SELECTION REQUIRED,,
