source_id,manufacturer,document,revision,date,official_url,use_and_limit,warning
OBS2-SRC-001,Pilz,PNOZ s4 operating manual,21396-EN-23,2026-06-22,https://www.pilz.com/download/open/OM_PNOZ_s4_21396-EN-23.pdf,"Y32 24 V/20 mA maximum, 0.1 mA residual and 5 V maximum drop; diagnostic only","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-002,Texas Instruments,ISO1211/ISO1212 datasheet,SLLSEY7G,revised 2025-02; rechecked 2026-08-10,https://www.ti.com/lit/ds/symlink/iso1212.pdf,"DBQ pins, Type-3 network, EMC screens, local bypass, 4 mm placement and floating SUB guidance","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-003,Schneider Electric,LC1D25BD product data sheet,current generated sheet,rechecked 2026-08-10,https://iportal.se.com/Contents/docs/SQD-LC1D25BD.PDF,Built-in NO diagnostic contacts; 5 mA and 17 V minimum signalling application,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-004,IDEC,HW1P-1FQD-A-24V product page and HW Series Catalog_Screw,catalog 2026-07-23,rechecked 2026-08-10,https://www.idec.com/en-us/switches-indicator-lights/switches-pushbuttons/pushbuttons-pilot-lights/hw-22mm-heavy-duty/hw1p-1fqd-a-24v,Exact H1 identity and 7 mA family screen; received current/terminals/brightness remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-005,Raspberry Pi,RP1 Peripherals,current PDF,rechecked 2026-08-10,https://datasheets.raspberrypi.com/rp1/rp1-peripherals.pdf,Pi 5 RP1 GPIO bank is 3.3 V; exact thresholds/header allocation remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-006,Phoenix Contact,"MKDS 1/6-3,5 product record",item 1751280; current online catalog,rechecked 2026-08-10,https://www.phoenixcontact.com/en-us/products/printed-circuit-board-terminal-mkds-1-6-35-1751280,"Exact six-position 3.5 mm-pitch PCB screw terminal; 1.1 mm drill, 21.5 mm width, 5 mm strip and 0.22-0.25 Nm catalog application data","PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-007,Murata,GRM21BR71H104KA01 exact sheet,product data 2016-03-03; asset 2025-07-07,rechecked 2026-08-10,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM21BR71H104KA01-01-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20250707233810,Exact 100 nF part identity/body; current same-series reflow land basis remains assembler-conditional,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-008,Murata,GRM21 land dimensions,GRM21BC81H475KE11-01A,2025-01-09,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BC81H475KE11-01A.pdf,Same-size GRM21 reflow envelope; not an assembly-process release,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-009,TDK,CGA3E2X7R1H103K080AA product record,live product database,rechecked 2026-08-10,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=CGA3E2X7R1H103K080AA,Exact 10 nF 50 V X7R identity/body,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
OBS2-SRC-010,TDK,Automotive MLCC delivery specification,AC11010023,2026-06,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/specification/mlccspec_automotive_general_en.pdf,CGA3 reflow land envelope; stencil/process remain open,"PRELIMINARY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
