segment_id,segment_kind,assembly_id,service,from_point,to_point,planning_length_mm,minimum_bend_radius_mm,corridor_diameter_mm,separation_rule,selection_state,authority
HN01_TORSO_POWER_SPINE,FIXED BODY CORRIDOR,HN-C01,ACTUATOR POWER,HN01_TORSO_POWER_SPINE-P01,HN01_TORSO_POWER_SPINE-P02,170.000,70.0,14.0,opposite torso rail from data; crossing only at 90 degrees,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_TORSO_DATA_SPINE,FIXED BODY CORRIDOR,HN-C01,DATA/LOW VOLTAGE,HN01_TORSO_DATA_SPINE-P01,HN01_TORSO_DATA_SPINE-P02,170.000,50.0,10.0,opposite torso rail from actuator power,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_HEAD_BRANCH,FIXED BODY CORRIDOR,HN-P01,DATA/LOW VOLTAGE,HN01_HEAD_BRANCH-P01,HN01_HEAD_BRANCH-P02,126.432,50.0,10.0,no shared conduit with actuator power,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_HEAD_POWER_BRANCH,FIXED BODY CORRIDOR,HN-P01,ACTUATOR POWER,HN01_HEAD_POWER_BRANCH-P01,HN01_HEAD_POWER_BRANCH-P02,126.432,40.0,8.0,opposite side of neck from head data branch; moving pan/tilt service loops required,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_L_LEG_POWER,FIXED BODY CORRIDOR,HN-P01,ACTUATOR POWER,HN01_L_LEG_POWER-P01,HN01_L_LEG_POWER-P02,352.000,60.0,12.0,front/rear offset from data corridor; joint service loops required,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_L_LEG_DATA,FIXED BODY CORRIDOR,HN-P01,DATA/ENCODER,HN01_L_LEG_DATA-P01,HN01_L_LEG_DATA-P02,352.000,45.0,9.0,front/rear offset from power corridor; shield/return topology open,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_L_ARM_POWER,FIXED BODY CORRIDOR,HN-P01,ACTUATOR POWER,HN01_L_ARM_POWER-P01,HN01_L_ARM_POWER-P02,284.084,50.0,10.0,rearward offset from data; shoulder/elbow loops required,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_L_ARM_DATA,FIXED BODY CORRIDOR,HN-P01,DATA/ENCODER,HN01_L_ARM_DATA-P01,HN01_L_ARM_DATA-P02,282.843,40.0,8.0,forward offset from power; shield/return topology open,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_R_LEG_POWER,FIXED BODY CORRIDOR,HN-P01,ACTUATOR POWER,HN01_R_LEG_POWER-P01,HN01_R_LEG_POWER-P02,352.000,60.0,12.0,front/rear offset from data corridor; joint service loops required,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_R_LEG_DATA,FIXED BODY CORRIDOR,HN-P01,DATA/ENCODER,HN01_R_LEG_DATA-P01,HN01_R_LEG_DATA-P02,352.000,45.0,9.0,front/rear offset from power corridor; shield/return topology open,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_R_ARM_POWER,FIXED BODY CORRIDOR,HN-P01,ACTUATOR POWER,HN01_R_ARM_POWER-P01,HN01_R_ARM_POWER-P02,284.084,50.0,10.0,rearward offset from data; shoulder/elbow loops required,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
HN01_R_ARM_DATA,FIXED BODY CORRIDOR,HN-P01,DATA/ENCODER,HN01_R_ARM_DATA-P01,HN01_R_ARM_DATA-P02,282.843,40.0,8.0,forward offset from power; shield/return topology open,CORRIDOR RESERVED; PHYSICAL CABLE OPEN,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED TEST, MOTION OR ENERGIZATION AUTHORITY"
