item_id,module,role,candidate,bbox_x_mm,bbox_y_mm,bbox_z_mm,center_x_mm,center_y_mm,center_z_mm,planning_mass_kg,operating_power_w,candidate_heat_w,mounting_plane,service_direction,connector_boundary,dynamic_link,evidence_state,warning
EQ-T01-PI5,T01,main compute,Raspberry Pi 5 8GB SC1112 candidate,85.004,12.004,58.004,-0.000,-24.000,527.000,0.050000,18.000,14.000,"rear face of front compute tray, Y=-18 mm",-Y front-cover withdrawal,"5.1 V, Ethernet, USB, two CSI/DSI FFCs; exact locking/strain relief open",torso,85 x 56 mm official reference drawing; 50 g installed mass allowance is not manufacturer-published,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-PI5-COOLER,T01,compute cooling,Raspberry Pi Active Cooler SC1148 candidate,60.004,13.004,45.004,0.000,-10.500,527.000,0.032000,2.500,2.500,Pi 5 processor side,+Y fan/service clearance,Pi fan header; tach/failure telemetry required,torso,envelope and installed mass remain incoming-inspection items,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-MOTION,C01,deterministic motion controller,custom STM32H743ZIT6 LQFP144 motion-controller carrier candidate,74.004,10.004,44.004,-0.000,24.000,482.000,0.055000,4.000,3.000,torso rear electronics tray,+Y rear-cover withdrawal,JMCU_A/JMCU_B each JST BM15B-GHS-TBT; eight sourced UART pin groups; watchdog/permit and remaining board pins open,torso,"exact MCU order-code and eight actuator-bus package pins selected; PCB, power/reset/debug, firmware and safety credit remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-WATCHDOG,S01,independent watchdog,Raspberry Pi Pico-class non-safety-rated diagnostic watchdog candidate,22.003,8.003,52.003,-49.000,22.000,535.000,0.012000,0.500,0.500,torso rear electronics tray,+Y rear-cover withdrawal,isolated heartbeat input and dry permit interface; exact circuit open,torso,diagnostic only; cannot be credited as a safety function,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-BUS-CARRIER-A,C01,four-channel actuator-bus interface carrier,four-channel carrier with 4x TI ISOW1432DFMR and 4x JST BM03B-GHS-TBT data-only field headers; buses RS-LLEG | RS-RLEG | RS-LARM | RS-RARM,82.004,14.004,42.004,-48.000,11.000,526.000,0.045000,3.000,2.200,torso rear electronics tray,+Y rear-cover withdrawal,JST GHR-15V-S logic-only controller cable plus per-segment BM02/BM03B-GHS-TBT field headers; no actuator VDD contacts,torso,"complete sourced application circuit and 82 x 42 mm native PCB placement candidate exist; copper routing, stackup/isolation geometry, EMC, thermal and physical validation remain open; U2D2 stays external commissioning-only","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-T01-BUS-CARRIER-B,C01,four-channel actuator-bus interface carrier,"four-channel carrier with 1x TI ISOW1432DFMR, 3x SN74LVC1T45DCKR and exact JST GH data-only field headers; buses RS-WAIST | TTL-LDIST | TTL-RDIST | TTL-HEAD",82.004,14.004,42.004,48.000,11.000,526.000,0.045000,1.500,1.000,torso rear electronics tray,+Y rear-cover withdrawal,JST GHR-15V-S logic-only controller cable plus per-segment BM02/BM03B-GHS-TBT field headers; no actuator VDD contacts,torso,"complete sourced application circuit and 82 x 42 mm native PCB placement candidate exist; copper routing, stackup/isolation geometry, EMC, thermal and physical validation remain open; U2D2 stays external commissioning-only","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-P01-TETHER-INLET,P01,tether inlet and service disconnect,"Anderson SBS75GBLK three-position inlet candidate; project contacts P1=controlled +12 V, G=pre-mate frame reference, P2=return",42.006,24.006,34.006,-0.000,35.000,378.000,0.110000,0.000,0.000,rear pelvis bulkhead,+Y external tool access,"1339G2 primary contacts and 1340G1 pre-mate contact are 6 AWG family candidates; exact cable, polarity marking, frame bond, retention and flex validation open",base_link,housing/contact family identified; installed harness and application remain open,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-P01-FIVE-BRANCH-DISTRIBUTOR,P01,main plus five protected actuator-PDU feeds,146 x 28 x 38 mm insulated distributor candidate with six Littelfuse 04980923ZXT covered MIDI holders; all fuse values SELECTION REQUIRED,146.006,28.006,38.006,0.000,12.000,382.000,0.235000,0.000,1.500,rear pelvis power tray,+Y rear-cover withdrawal,"one inlet, one main holder and exact feeds to PDU-LLEG/PDU-RLEG/PDU-ARMS/PDU-DISTAL/PDU-CORE; fuse values, conductors, lugs and torque open",base_link,"physical holder/enclosure allocation only; no fuse, conductor, thermal, fault or safety credit","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-PDU-LLEG,L01,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer PDU-LLEG instance; six left-leg axes,45.004,8.004,124.004,62.500,19.000,294.000,0.045000,0.100,0.800,inside left rear thigh cover,removable-cover withdrawal before connector service,"controlled 12 V trunk input, six individual actuator output pairs, six disable/PG control boundaries",L_thigh,"native schematic ERC 0/0 and routed PCB DRC 0/0; stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
EQ-PDU-RLEG,L02,six-channel actuator branch protection board,routed 124 x 45 mm ten-layer PDU-RLEG instance; six right-leg axes,45.004,8.004,124.004,-62.500,19.000,294.000,0.045000,0.100,0.800,inside right rear thigh cover,removable-cover withdrawal before connector service,"controlled 12 V trunk input, six individual actuator output pairs, six disable/PG control boundaries",R_thigh,"native schematic ERC 0/0 and routed PCB DRC 0/0; stackup, connector temperature, regeneration, physical fit and thermal proof remain open","PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
