hold_id,unresolved_item,state,release_effect
HR30-P01-H01,"Ten reusable serviceable joint-family CAD assemblies now cover all 25 axes with visible shafts, catalogue-bearing candidates, truss carriers, retainers, 156 located whole-body carrier screws, couplers or belt/rack members, output-encoder carriers and guards where applicable. Exact shaft material/heat treatment, bearing suffix/life, fits, shoulders/grooves, pulley/belt/encoder products, fastener property classes, tapped-side material/inserts, torque/preload/locking/access, capacity, DFM, FAI, physical proof and qualified review remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H02,"The arm actuator concept exceeds its mass target before links, hands, cables and covers.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H03,"All twelve leg axes have static load screens. Ten belt-reduced axes now have exact MISUMI 5GT/EV5GT candidate geometry, exact HN12/HN13 horns, three motor-adapter variants and two shouldered output-shaft/capture variants installed on controlled external service planes in a complete-body CAD assembly; all 45 nominal inter-drive pairs have zero common volume. Material, fits, tolerances, runout, fastener details, bearing side loads, belt tension/capacity, motion and cable/cover sweeps, accepted trajectories, continuous torque, thermal limits, contact/impact, regeneration, fall restraint, gait correlation and physical proof remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H04,"The whole-body CAD now contains a 177.6 Wh pack evaluation envelope, removable rear-torso cassette, tether inlet, dual-interruption, PDU and protection/telemetry reservation. Exact battery configuration, BMS/PCM, connector, current/thermal capability, containment, retention, charger, regeneration handling, protection values, grounding and pinout remain unselected and unvalidated.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H05,The 370 mm straight-arm reach and 950 mm span pass hard limits but miss targets.,OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H06,"All 98 physical frame/cover/gripper-mechanism candidates now have individual native STEP and SVG drawing-view files; planar 2.5D candidates also have DXF profiles and removable printed covers have STL meshes. Material candidates, stock condition, allowables, print material/process, ribs/stiffness, retention, vents, access, tolerance/GD&T, threads/inserts, edge treatment, DFM, FAI, structural/impact proof and qualified review remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H07,"Twelve route-derived installed harness bundles now have planning lengths, mass allowances and connector boundaries, including separate neck power and data paths. Exact conductors, fill, flex life, service loops, connectors, strain relief, shielding, current, EMC and thermal evidence remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H08,"The 8 S2-S5 articulated candidates now have zero common-volume interference across 2,320 checked nonadjacent nominal link pairs and a 10.00 mm minimum rigid-envelope clearance. Manufacturing tolerance, covers, cable/connector sweep, tracking error, joint compliance, stopping, fall/restraint, power-loss behavior and physical correlation remain unverified.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H09,"A gross candidate-volume reconciliation now gives 11.917 kg and provisional COM, with the published pack envelope, cassette, protection reservation and integration contingency. It is inside the 12 kg P0.1 maximum but misses the 10 kg stretch objective; overlap removal, exact protection selections, received mass/COM and physical inertia identification remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H10,"Twelve module STEP pairs, an exploded whole-body assembly, a web interface atlas, and individual candidate files for all 98 physical fabrication parts now exist. The per-part package adds material/cut, process-route and inspection-characteristic registers. Released drawings, tolerances/GD&T, exact material/process selections, threads/inserts/fasteners, DFM, FAI, proof, physical test and qualified review remain open.",OPEN,"BLOCKS FABRICATION, MOTION AND ENERGIZATION"
HR30-P01-H11,"The native 19-sheet HR-30 KiCad project and ten-sheet carrier project bind all 25 axes, 25 distinct actuator power-feed boundaries, eight STM32 UART groups, five complete ISOW1432 application circuits, three complete SN74LVC1T45 application circuits, exact data-only JST GH connectors, and two 82 x 42 mm six-layer routed candidates. Carrier schematic ERC is 0/0; both boards have KiCad DRC 0/0 and zero unconnected pads. Five native all-copper isolation moats and the JLC06161H-3313 stackup candidate are bound in source. Independent layout/DFM acceptance, manufacturer stackup confirmation, cables, branch power injection, grounding, EMC, timing, thermal behavior, sensing calibration, safety allocation and physical fault tests remain open. Machine outputs are not released for ordering.",OPEN,"BLOCKS CONNECTION, POWERED TEST, MOTION AND ENERGIZATION"
