part_id,module,characteristic_id,nominal_or_basis,acceptance_requirement,inspection_method,result,authority,warning
T01_TORSO_RAIL_R,T01,DATUM_SCHEME,A primary mounting face/section; B longitudinal centerplane; C orthogonal centerplane,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_R,T01,OVERALL_X,18.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_R,T01,OVERALL_Y,18.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_R,T01,OVERALL_Z,146.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_R,T01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,DATUM_SCHEME,A primary mounting face/section; B longitudinal centerplane; C orthogonal centerplane,datum simulators and precedence SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,OVERALL_X,18.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,OVERALL_Y,18.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,OVERALL_Z,146.000 mm nominal CAD envelope,size tolerance SELECTION REQUIRED,SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
T01_TORSO_RAIL_L,T01,PROFILE_OR_SURFACE,nominal native STEP geometry,"profile tolerance, inspection method and sampling SELECTION REQUIRED",SELECTION REQUIRED,NOT EXECUTED,NO FABRICATION OR ACCEPTANCE AUTHORITY,"PRELIMINARY - CONFIGURATION AND PACKAGING CAD ONLY - NOT APPROVED FOR PROCUREMENT, FABRICATION, ASSEMBLY, POWERED TESTING, MOTION, OR ENERGIZATION"
