source_id,publisher,document,revision_or_date,official_url_or_path,sha256,verified_scope,execution_state,authority,warning
ACK-S01,Project Button,25-axis current-cap and routed-length binding,current generated P0.1 input,hr30/whole-body-p0.1/harness/current-policy-binding-p0.1/axis-power-policy-binding.csv,ed083ce0513aa4f23c521116a67f9f59f7a84a4353adc3547dc855bab4b8c8e7,25-axis current-cap and routed-length binding,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S02,Project Button,25 physical bus links and outgoing-link topology,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/bus-physical-link-register.csv,be0614ff03ed4e1fb34737b8c61a3128965a2d0d40773fbd9a9cb746ee730f9a,25 physical bus links and outgoing-link topology,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S03,Project Button,manufacturer actuator interface verification,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/actuator-interface-verification-register.csv,c030d21bf85fb5b1aac0436456560969b16bbcebd24f6655c1329e96d4d61a21,manufacturer actuator interface verification,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S04,Project Button,existing interface discrepancy register,current generated P0.1 input,hr30/whole-body-p0.1/harness/physical-p0.1/manufacturer-interface-discrepancy-register.csv,daa4e2b6773b5991f11168c2a99922230688bc497f239f0313bf6966d4ee996a,existing interface discrepancy register,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S05,JST,EH connector series product page,live official page; accessed 2026-08-16,https://www.jst-mfg.com/product/index.php?lang=2&series=58,N/A - LIVE PRIMARY SOURCE,2.5 mm pitch; 3 A at AWG22; AWG32-22 / 0.032-0.33 mm2; EHR-3 and EHR-4 housings,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S06,JST,EH connector series data sheet,current official PDF; accessed 2026-08-16,https://www.jst-mfg.com/product/pdf/eng/eEH.pdf,N/A - LIVE PRIMARY SOURCE,SEH-001T-P0.6 standard contact; AWG30-22; low-insertion-force contacts less vibration resistant,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S07,ROBOTIS,DYNAMIXEL X-series and U2D2 interface documentation,live official documentation; accessed 2026-08-16,https://docs.robotis.com/docs/parts/interface/u2d2/,N/A - LIVE PRIMARY SOURCE,RS-485 pin 1 GND/2 VDD/3 D+/4 D-; TTL pin 1 GND/2 VDD/3 DATA; EHR-04/EHR-03 notation,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S08,igus,chainflex CF9.UL product page,live official page; accessed 2026-08-16,https://www.igus.com/product/CF9_UL,N/A - LIVE PRIMARY SOURCE,"CF9.UL.02.02 is 2 x 0.25 mm2 / 24 AWG, TPE, continuous-flex and torsion-rated up to +/-90 degrees per metre under published conditions",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S09,igus,chainflex CF9.UL English data sheet,current official PDF; accessed 2026-08-16; visible footer 2014,https://www.igus.com/contentData/Product_Files/Download/pdf/CF9-UL_en.pdf,N/A - LIVE PRIMARY SOURCE,"CF9.UL.02.02 construction, 5xd minimum bend radius in normal temperature band, and published flex/torsion application limits",NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-S10,igus,chainflex CF9.UL.02.02 current product data,live official product page; accessed 2026-08-16,https://www.igus.cn/zh-CN/product/CF9_UL?artNr=CF9.UL.02.02&category=control-cable,N/A - LIVE PRIMARY SOURCE,maximum conductor resistance at 20 C is 79 ohm/km for the exact CF9.UL.02.02 article,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
