hold_id,unresolved_item,closure_evidence,state,execution_state,authority,warning
ACK-H01,"Alpha Wire 3051 is a static suspended-commissioning candidate only; received construction, crimp quality, current/temperature behavior and external restraint remain unverified",received-lot measurement plus crimp/pull/resistance/temperature coupons and a dimensioned non-moving restraint plan,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H02,"normal RMS, peak duration, diversity and regeneration waveforms are unmeasured",accepted whole-body trajectories with synchronized current/voltage/temperature records,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H03,branch fuse/eFuse/current-limiter coordination is unselected,"fault current, impedance, inrush, regeneration, interruption and connector-protection tests",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H04,"CF130.03.02.UL is the dynamic candidate, but individual-core OD and 0.34 versus 0.33 mm2 contact boundary plus every HR-30 route remain unresolved","written igus/JST application disposition, received measurements and route-specific bend/twist/temperature/life testing",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H05,no RS-485 or TTL data cable is validated in the final eight-bus topology,"manufacturer suitability evidence plus waveform, termination, common-mode, error-rate and EMC tests at final lengths",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H06,"cut lengths, service slack, clamp positions and retention hardware are unselected",as-built route measurement and dimensioned assembly drawings,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H07,"contact crimp tooling, setup, pull limit and cross-section acceptance are unselected","controlled process specification, coupons and qualified inspection",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H08,data-only outgoing cavity construction is unbuilt and uninspected,"serialized 100% cavity, continuity, isolation and no-backfeed records",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H09,"whole-body bus termination, bias, baud and shielding remain unvalidated","final controller, cable and topology tests across motion/power states",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H10,qualified electrical and functional-safety review is absent,signed review of the identical frozen as-built harness and test evidence,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H11,"outgoing data-only connectors omit GND as well as VDD, leaving signal reference through individual branch returns",approved reference/isolation architecture and measured RS-485 common-mode plus TTL ground-offset/waveform evidence without power-branch paralleling,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H12,CF130 individual-core insulation diameter is unpublished against the Micro-Fit terminal's 1.85 mm maximum,igus construction drawing or written confirmation plus received-lot core-OD measurements before any crimp trial,OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H13,"the 25 panel-mount transition locations, brackets, clamp spacing and pigtail lengths are not dimensioned in module CAD","module-by-module CAD placement, collision sweep, bracket drawing, pull-load path and service-access review",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
ACK-H14,Micro-Fit current/temperature capability is not released for the HR-30 two-circuit 22 AWG duty,"measured RMS/peak/regeneration waveform, ambient/bundling model and connector temperature-rise/fault tests using exact received terminals and tooling",OPEN,NOT EXECUTED,"NO PROCUREMENT, FABRICATION, CONNECTION, POWERED-TEST, MOTION OR ENERGIZATION AUTHORITY","PRELIMINARY - UNBUILT ACTUATOR CABLE-KIT CANDIDATE - NOT APPROVED FOR PROCUREMENT, FABRICATION, CONNECTION, POWERED TESTING, MOTION OR ENERGIZATION"
